title,date,tags,company,link
[MUSINSA Tech Inside] | SRE팀을 만나다,2023.04.24,site reliability engineer#musinsa,무신사,https://medium.com/musinsa-tech/musinsa-tech-inside-sre%ED%8C%80%EC%9D%84-%EB%A7%8C%EB%82%98%EB%8B%A4-edd77f771d23?source=collection_category---6------0-----------------------
커머스코어실의 세일 시스템팀은 어떤 팀일까?,2023.01.31,,무신사,https://medium.com/musinsa-tech/%EC%BB%A4%EB%A8%B8%EC%8A%A4%EC%BD%94%EC%96%B4%EC%8B%A4-%EC%84%B8%EC%9D%BC-%EC%8B%9C%EC%8A%A4%ED%85%9C%ED%8C%80%EC%9D%80-%EC%96%B4%EB%96%A4-%ED%8C%80%EC%9D%BC%EA%B9%8C-ebc45b21621d?source=collection_category---6------1-----------------------
무신사에 다니면 생기는 일,2022.12.14,musinsatech#musinsa#musinsaculture,무신사,https://medium.com/musinsa-tech/%EB%AC%B4%EC%8B%A0%EC%82%AC%EC%97%90-%EB%8B%A4%EB%8B%88%EB%A9%B4-%EC%83%9D%EA%B8%B0%EB%8A%94-%EC%9D%BC-43d575a4cc6c?source=collection_category---6------2-----------------------
"무신사 테크, 인프콘에 가다 !",2022.09.08,musinsa#musinsatech#인프콘,무신사,https://medium.com/musinsa-tech/%EB%AC%B4%EC%8B%A0%EC%82%AC-%ED%85%8C%ED%81%AC-%EC%9D%B8%ED%94%84%EC%BD%98%EC%97%90-%EA%B0%80%EB%8B%A4-e561cd32f9f8?source=collection_category---6------3-----------------------
무신사의 첫 번째 테크 세미나를 마치며,2021.10.27,clean code#refactoring#culture#seminar#musinsaculture,무신사,https://medium.com/musinsa-tech/%EB%AC%B4%EC%8B%A0%EC%82%AC%EC%9D%98-%EC%B2%AB-%EB%B2%88%EC%A7%B8-%ED%85%8C%ED%81%AC-%EC%84%B8%EB%AF%B8%EB%82%98%EB%A5%BC-%EB%A7%88%EC%B9%98%EB%A9%B0-ac9b330b1d02?source=collection_category---6------4-----------------------
[MUSINSA Tech Inside] | 데이터플랫폼팀을 만나다,2023.06.05,musinsa#musinsatech#데이터 플랫폼#데이터브릭스,무신사,https://medium.com/musinsa-tech/musinsa-tech-inside-meet-dataplatform-team-6526d18386b4?source=collection_category---6------5-----------------------
모노레포 이렇게 좋은데 왜 안써요?,2023.09.06,monorepo#monorepo#musinsatech#musinsatech#frontend development,무신사,https://medium.com/musinsa-tech/journey-of-a-frontend-monorepo-8f5480b80661?source=collection_category---6------0-----------------------
MAB 알고리즘을 이용하여 효율적으로 정렬하기,2021.08.06,mab#druid#kafka#thompson sampling,무신사,https://medium.com/musinsa-tech/mab-211d14d2090b?source=collection_category---6------1-----------------------
무신사가 검색 품질을 관리하는 방법,2021.07.30,map#elk#search#elasticsearch,무신사,https://medium.com/musinsa-tech/map-416b5f143943?source=collection_category---6------2-----------------------
검색어 분석을 통한 상품 정렬 개선,2021.05.13,search#elasticsearch#modeling#map#bm25,무신사,https://medium.com/musinsa-tech/%EA%B2%80%EC%83%89%EC%96%B4-%EB%B6%84%EC%84%9D%EC%9D%84-%ED%86%B5%ED%95%9C-%EC%83%81%ED%92%88-%EC%A0%95%EB%A0%AC-%EA%B0%9C%EC%84%A0-b92ded2923c3?source=collection_category---6------3-----------------------
무신사 서비스에 적합한 NoSQL 도입 여정 — 2편,2021.08.27,documentdb#couchbase#nosql#database,무신사,https://medium.com/musinsa-tech/%EB%AC%B4%EC%8B%A0%EC%82%AC-%EC%84%9C%EB%B9%84%EC%8A%A4%EC%97%90-%EC%A0%81%ED%95%A9%ED%95%9C-nosql-%EB%8F%84%EC%9E%85-%EC%97%AC%EC%A0%95-2%ED%8E%B8-3f2f390ed718?source=collection_category---6------4-----------------------
무신사 서비스에 적합한 NoSQL 도입 여정 — 1편,2021.08.20,documentdb#couchbase#nosql#database,무신사,https://medium.com/musinsa-tech/database-6d1052ca6b36?source=collection_category---6------5-----------------------
