title,date,tags,company,link
광고 시스템 퍼포먼스 튜닝 회고록,2023.07.17,python#performance tuning#ad tech,요기요,https://techblog.yogiyo.co.kr/%EA%B4%91%EA%B3%A0-%EC%8B%9C%EC%8A%A4%ED%85%9C-%ED%8D%BC%ED%8F%AC%EB%A8%BC%EC%8A%A4-%ED%8A%9C%EB%8B%9D-%ED%9A%8C%EA%B3%A0%EB%A1%9D-a658e40842d6?source=collection_category---4------0-----------------------
Python 기반 대규모 마이크로 서비스에서 Circuit Breaker 도입의 여정,2023.03.31,python#yogiyo#hyperlocal commerce#back end developer#circuit breaker,요기요,https://techblog.yogiyo.co.kr/%ED%8C%8C%EC%9D%B4%EC%8D%AC-%EA%B8%B0%EB%B0%98%EC%9D%98-%EB%8C%80%EA%B7%9C%EB%AA%A8-%EB%A7%88%EC%9D%B4%ED%81%AC%EB%A1%9C-%EC%84%9C%EB%B9%84%EC%8A%A4%EC%97%90%EC%84%9C-circuit-breaker-%EB%8F%84%EC%9E%85-%EC%97%AC%EC%A0%95-b694d83cbf48?source=collection_category---4------1-----------------------
2022 요기요 신입채용 ‘위대한 ROOKIES 5기’ 모집,2022.10.11,recruit#개발자#yogiyo#backend#python,요기요,https://techblog.yogiyo.co.kr/2022-%EC%9A%94%EA%B8%B0%EC%9A%94-%EC%8B%A0%EC%9E%85%EC%B1%84%EC%9A%A9-%EC%9C%84%EB%8C%80%ED%95%9C-rookies-5%EA%B8%B0-%EB%AA%A8%EC%A7%91-a5800b34bad5?source=collection_category---4------2-----------------------
한 방! 온보딩 스크립트 만들기,2022.02.14,shell script#python#yogiyo#onboarding tools#backend,요기요,https://techblog.yogiyo.co.kr/%ED%95%9C-%EB%B0%A9-%EC%98%A8%EB%B3%B4%EB%94%A9-%EC%8A%A4%ED%81%AC%EB%A6%BD%ED%8A%B8-%EB%A7%8C%EB%93%A4%EA%B8%B0-305bd693f780?source=collection_category---4------3-----------------------
제목은 메리 크리스마스로 하겠습니다. 그런데 이제 프로그래밍을 곁들인,2022.01.24,yogiyo#advent of code#python#algorithm#post,요기요,https://techblog.yogiyo.co.kr/%EC%A0%9C%EB%AA%A9%EC%9D%80-%EB%A9%94%EB%A6%AC-%ED%81%AC%EB%A6%AC%EC%8A%A4%EB%A7%88%EC%8A%A4%EB%A1%9C-%ED%95%98%EA%B2%A0%EC%8A%B5%EB%8B%88%EB%8B%A4-%EA%B7%B8%EB%9F%B0%EB%8D%B0-%EC%9D%B4%EC%A0%9C-%ED%94%84%EB%A1%9C%EA%B7%B8%EB%9E%98%EB%B0%8D%EC%9D%84-%EA%B3%81%EB%93%A4%EC%9D%B8-7ae1980f61c1?source=collection_category---4------4-----------------------
"동시성, Concurrency 넌 누구니",2021.11.25,django#db#concurrency#python#yogiyo,요기요,https://techblog.yogiyo.co.kr/db-concurrency-%EC%96%B4%EB%94%94%EA%B9%8C%EC%A7%80-%EC%95%8C%EA%B3%A0-%EC%9E%88%EB%8B%88-559bfc4f59ee?source=collection_category---4------5-----------------------
🚀Rookie Hero 4기가 특별한 이유 4가지,2021.05.27,yogiyo#junior#rookie hero#python#post,요기요,https://techblog.yogiyo.co.kr/rookie-hero-4%EA%B8%B0%EA%B0%80-%ED%8A%B9%EB%B3%84%ED%95%9C-%EC%9D%B4%EC%9C%A0-4%EA%B0%80%EC%A7%80-bf852c3328a3?source=collection_category---4------6-----------------------
Django Rest Framework API Document Generator (feat. drf-spectacular),2021.04.18,drf yasg#swagger#django#django rest framework#python,요기요,https://techblog.yogiyo.co.kr/django-rest-framework-api-document-generator-feat-drf-spectacular-585fcabec404?source=collection_category---4------7-----------------------
조직 내 사설 저장소 구축을 고민하고 있다면,2020.07.06,python#pypi#private repository#github#delivery hero korea,요기요,https://techblog.yogiyo.co.kr/%EC%A1%B0%EC%A7%81%EB%82%B4-%EC%82%AC%EC%84%A4-%EC%A0%80%EC%9E%A5%EC%86%8C%EC%97%90-%EB%8C%80%ED%95%9C-%EB%8B%A8%EC%83%81-e26113fd5867?source=collection_category---4------8-----------------------
Django에서는 QuerySet이 당신을 만듭니다 (2),2020.02.01,queryset#django#python#delivery hero korea#post,요기요,https://techblog.yogiyo.co.kr/django%EC%97%90%EC%84%9C%EB%8A%94-queryset%EC%9D%B4-%EB%8B%B9%EC%8B%A0%EC%9D%84-%EB%A7%8C%EB%93%AD%EB%8B%88%EB%8B%A4-2-5f6f8c6cd7e3?source=collection_category---4------9-----------------------
[파이썬 전향기 시리즈 #5] My Python Journey,2020.02.28,python#yogiyo#delivery hero korea#featured#python,요기요,https://techblog.yogiyo.co.kr/my-python-journey-story5-9b597e1251ca?source=collection_category---4------10-----------------------
제목은 메리 크리스마스로 하겠습니다. 그런데 이제 프로그래밍을 곁들인,2022.01.24,yogiyo#advent of code#python#algorithm#post,요기요,https://techblog.yogiyo.co.kr/%EC%A0%9C%EB%AA%A9%EC%9D%80-%EB%A9%94%EB%A6%AC-%ED%81%AC%EB%A6%AC%EC%8A%A4%EB%A7%88%EC%8A%A4%EB%A1%9C-%ED%95%98%EA%B2%A0%EC%8A%B5%EB%8B%88%EB%8B%A4-%EA%B7%B8%EB%9F%B0%EB%8D%B0-%EC%9D%B4%EC%A0%9C-%ED%94%84%EB%A1%9C%EA%B7%B8%EB%9E%98%EB%B0%8D%EC%9D%84-%EA%B3%81%EB%93%A4%EC%9D%B8-7ae1980f61c1?source=---------0-----------------------
요기요 엔지니어링 지표들이 준 세 가지 교훈,2022.01.10,yogiyo#post#metric#agile#engineering culture,요기요,https://techblog.yogiyo.co.kr/%EC%9A%94%EA%B8%B0%EC%9A%94-%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4%EB%A7%81-%EC%A7%80%ED%91%9C-%EB%93%A4%EC%9D%B4-%EC%A4%80-%EC%84%B8-%EA%B0%80%EC%A7%80-%EA%B5%90%ED%9B%88-1bf887bbbdea?source=---------1-----------------------
덕질이 세상을 이롭게 하리,2021.12.20,yogiyo#post#culture#developer advocate#organizational culture,요기요,https://techblog.yogiyo.co.kr/%EB%8D%95%EC%A7%88%EC%9D%B4-%EC%84%B8%EC%83%81%EC%9D%84-%EC%9D%B4%EB%A1%AD%EA%B2%8C-%ED%95%98%EB%A6%AC-50d894499b4?source=---------2-----------------------
나는 PO가 되어 있을거라고 했다.,2021.12.01,yogiyo#product owner#post#career development#product designer,요기요,https://techblog.yogiyo.co.kr/%EB%82%98%EB%8A%94-po%EA%B0%80-%EB%90%98%EC%96%B4-%EC%9E%88%EC%9D%84%EA%B1%B0%EB%9D%BC%EA%B3%A0-%ED%96%88%EB%8B%A4-88dd1f6f7c25?source=---------3-----------------------
"4년차 QA Engineer, 나는 지금 어디로 가고 있는가",2021.11.17,yogiyo#post#qa engineer#automation#career,요기요,https://techblog.yogiyo.co.kr/4%EB%85%84%EC%B0%A8-qa-engineer-%EB%82%98%EB%8A%94-%EC%A7%80%EA%B8%88-%EC%96%B4%EB%94%94%EB%A1%9C-%EA%B0%80%EA%B3%A0-%EC%9E%88%EB%8A%94%EA%B0%80-ec0ae2f1fee0?source=---------4-----------------------
사내 기술 세미나를 만든 건 낚시꾼과 듸자이너,2021.11.05,yogiyo#post#developer relations#culture#tech sessions,요기요,https://techblog.yogiyo.co.kr/%EC%82%AC%EB%82%B4-%EA%B8%B0%EC%88%A0-%EC%84%B8%EB%AF%B8%EB%82%98%EB%A5%BC-%EB%A7%8C%EB%93%A0-%EA%B1%B4-%EB%82%9A%EC%8B%9C%EA%BE%BC%EA%B3%BC-%EB%93%B8%EC%9E%90%EC%9D%B4%EB%84%88-b264ff57a491?source=---------5-----------------------
UX Writing을 고민하고 있어요,2021.10.08,yogiyo#ux writing#post#culture#product,요기요,https://techblog.yogiyo.co.kr/ux-writing%EC%9D%84-%EA%B3%A0%EB%AF%BC%ED%95%98%EA%B3%A0-%EC%9E%88%EC%96%B4%EC%9A%94-155a07a2935d?source=---------6-----------------------
코시국 랜선 회식 이렇게 준비했다!,2021.09.16,yogiyo#gather town#team building#culture#post,요기요,https://techblog.yogiyo.co.kr/%EC%BD%94%EC%8B%9C%EA%B5%AD-%EB%9E%9C%EC%84%A0-%ED%9A%8C%EC%8B%9D-%EC%9D%B4%EB%A0%87%EA%B2%8C-%EC%A4%80%EB%B9%84%ED%96%88%EB%8B%A4-f42bc1ff71fa?source=---------7-----------------------
"일이 취미가 되고, 취미가 일이 될 때",2021.09.10,yogiyo#bug bounty#post#culture#running,요기요,https://techblog.yogiyo.co.kr/%EC%9D%BC%EC%9D%B4-%EC%B7%A8%EB%AF%B8%EA%B0%80-%EB%90%98%EA%B3%A0-%EC%B7%A8%EB%AF%B8%EA%B0%80-%EC%9D%BC%EC%9D%B4-%EB%90%A0-%EB%95%8C-5bc875e40965?source=---------8-----------------------
요기요 QE Chapter 를 소개합니다.,2021.09.03,yogiyo#post#quality engineering#quality assurance#culture,요기요,https://techblog.yogiyo.co.kr/%EC%9A%94%EA%B8%B0%EC%9A%94-qe-chapter-%EB%A5%BC-%EC%86%8C%EA%B0%9C%ED%95%A9%EB%8B%88%EB%8B%A4-a602db4d250d?source=---------9-----------------------
