title,date,tags,company,link
미국 십대가 본 SNS 서비스,2015.06.05,social media#teenagers#usa,당근,https://medium.com/daangn/%EB%AF%B8%EA%B5%AD-%EC%8B%AD%EB%8C%80%EA%B0%80-%EB%B3%B8-sns-%EC%84%9C%EB%B9%84%EC%8A%A4-2d790484aa42?source=collection_archive---------0-----------------------
회사에서 쓰는 전동 높이조절 스탠딩 데스크,2015.08.24,standing desk#office#work#working,당근,https://medium.com/daangn/%EC%84%9C%EC%84%9C-%EC%9D%BC%ED%95%98%EA%B8%B0-%EC%9C%84%ED%95%9C-%EC%8A%A4%ED%83%A0%EB%94%A9-%EB%8D%B0%EC%8A%A4%ED%81%AC-7e07717c4229?source=collection_archive---------1-----------------------
풋내기 창업자의 스타트업 창업하기_3화 예비창업자 사전보증 제도 활용하기,2015.07.06,startup,당근,https://medium.com/daangn/%ED%92%8B%EB%82%B4%EA%B8%B0-%EC%B0%BD%EC%97%85%EC%9E%90%EC%9D%98-%EC%8A%A4%ED%83%80%ED%8A%B8%EC%97%85-%EC%B0%BD%EC%97%85%ED%95%98%EA%B8%B0-3%ED%99%94-%EC%98%88%EB%B9%84%EC%B0%BD%EC%97%85%EC%9E%90-%EC%82%AC%EC%A0%84%EB%B3%B4%EC%A6%9D-%EC%A0%9C%EB%8F%84-%ED%99%9C%EC%9A%A9%ED%95%98%EA%B8%B0-4413c67d62f9?source=collection_archive---------2-----------------------
"전 직원 법인카드, 공개, 성공적",2015.08.13,andorid#sms#slack#working,당근,https://medium.com/daangn/%EC%A0%84-%EC%A7%81%EC%9B%90-%EB%B2%95%EC%9D%B8%EC%B9%B4%EB%93%9C-%EA%B3%B5%EA%B0%9C-%EC%84%B1%EA%B3%B5%EC%A0%81-6610cefc4fe7?source=collection_archive---------3-----------------------
풋내기 창업자의 스타트업 창업하기_1화 법인등록 관련 세금 할인 받기,2015.06.27,startup,당근,https://medium.com/daangn/%ED%92%8B%EB%82%B4%EA%B8%B0-%EC%B0%BD%EC%97%85%EC%9E%90%EC%9D%98-%EC%8A%A4%ED%83%80%ED%8A%B8%EC%97%85-%EC%B0%BD%EC%97%85%ED%95%98%EA%B8%B0-d010f482f595?source=collection_archive---------4-----------------------
풋내기 창업자의 스타트업 창업하기_2화 스타트업을 하는 이유,2015.07.01,startup,당근,https://medium.com/daangn/%ED%92%8B%EB%82%B4%EA%B8%B0-%EC%B0%BD%EC%97%85%EC%9E%90%EC%9D%98-%EC%8A%A4%ED%83%80%ED%8A%B8%EC%97%85-%EC%B0%BD%EC%97%85%ED%95%98%EA%B8%B0-2%ED%99%94-%EC%8A%A4%ED%83%80%ED%8A%B8%EC%97%85%EC%9D%84-%ED%95%98%EB%8A%94-%EC%9D%B4%EC%9C%A0-9842b8cbdd05?source=collection_archive---------5-----------------------
Uber for X 회사들이 왜 실패하는가?,2015.07.10,,당근,https://medium.com/daangn/uber-for-x-%ED%9A%8C%EC%82%AC%EB%93%A4%EC%9D%B4-%EC%99%9C-%EC%8B%A4%ED%8C%A8%ED%95%98%EB%8A%94%EA%B0%80-17283b9e16c5?source=collection_archive---------6-----------------------
"현존하는 아이언맨, Elon Musk의 생애",2015.06.26,elon musk#spacex#tesla,당근,https://medium.com/daangn/%ED%98%84%EC%A1%B4%ED%95%98%EB%8A%94-%EC%95%84%EC%9D%B4%EC%96%B8%EB%A7%A8-elon-musk%EC%9D%98-%EC%83%9D%EC%95%A0-cc744bf8ab96?source=collection_archive---------7-----------------------
미국인이 말하는 채팅앱의 가능성,2015.06.22,,당근,https://medium.com/daangn/%EB%AF%B8%EA%B5%AD%EC%9D%B8%EC%9D%B4-%EB%A7%90%ED%95%98%EB%8A%94-%EB%AF%B8%EA%B5%AD%EC%8B%9C%EC%9E%A5%EC%97%90%EC%84%9C-%EC%B1%84%ED%8C%85%EC%95%B1%EC%9D%98-%EA%B0%80%EB%8A%A5%EC%84%B1-b515d4e7cc3b?source=collection_archive---------8-----------------------
Mobile.. 아직 기회는 많다,2015.07.04,mobile#business opportunities#startup,당근,https://medium.com/daangn/mobile-%EC%95%84%EC%A7%81-%EA%B8%B0%ED%9A%8C%EB%8A%94-%EB%A7%8E%EB%8B%A4-a209346ed294?source=collection_archive---------9-----------------------
