title,date,tags,company,link
왓챠의 온보딩 키트,2022.08.18,company culture#onboarding#company branding#onboarding process#culture,왓챠,https://medium.com/watcha/%EC%99%93%EC%B1%A0%EC%9D%98-%EC%98%A8%EB%B3%B4%EB%94%A9-%ED%82%A4%ED%8A%B8-d56b442253dd?source=---------0-----------------------
왓챠의 온보딩 프로세스,2022.07.06,culture#onboarding process,왓챠,https://medium.com/watcha/%EC%99%93%EC%B1%A0%EC%9D%98-%EC%98%A8%EB%B3%B4%EB%94%A9-%ED%94%84%EB%A1%9C%EC%84%B8%EC%8A%A4-e71b1cb1d278?source=---------1-----------------------
"Join My Table, enjoy Team awaw",2022.04.08,culture,왓챠,https://medium.com/watcha/join-my-table-enjoy-team-awaw-b00a166acbf4?source=---------2-----------------------
"Join My Table, enjoy Team awaw",2022.04.05,culture,왓챠,https://medium.com/watcha/join-my-table-enjoy-team-awaw-d38029270479?source=---------3-----------------------
"Join My Table, enjoy Team awaw",2022.03.31,culture,왓챠,https://medium.com/watcha/join-my-table-enjoy-team-awaw-33b2b34b7ef0?source=---------4-----------------------
"Join My Table, enjoy Team awaw",2022.03.29,culture,왓챠,https://medium.com/watcha/join-my-table-enjoy-team-awaw-5522bc085063?source=---------5-----------------------
"Join My Table, enjoy Team awaw",2022.03.25,culture,왓챠,https://medium.com/watcha/join-my-table-enjoy-team-awaw-717f6e6d7109?source=---------6-----------------------
"Join My Table, enjoy Team awaw",2022.03.22,culture,왓챠,https://medium.com/watcha/join-my-table-enjoy-team-awaw-8274a6ba14ba?source=---------7-----------------------
"Join My Table, enjoy Team awaw",2022.03.14,culture#producer#content,왓챠,https://medium.com/watcha/join-my-table-enjoy-team-awaw-d83cfeb29a90?source=---------8-----------------------
구글이 나 대신 일하게 하는 법,2021.12.22,culture#google#apps script#programming,왓챠,https://medium.com/watcha/%EA%B5%AC%EA%B8%80%EC%9D%B4-%EB%82%98-%EB%8C%80%EC%8B%A0-%EC%9D%BC%ED%95%98%EA%B2%8C-%ED%95%98%EB%8A%94-%EB%B2%95-53bee63112b0?source=---------9-----------------------
클로즈업(Close Up) 1,2021.11.24,culture,왓챠,https://medium.com/watcha/%ED%81%B4%EB%A1%9C%EC%A6%88%EC%97%85-close-up-1-%EC%98%AC%EB%9D%BC%EC%9A%B4%EB%93%9C-%EB%A7%88%EC%BC%80%ED%84%B0-%EB%A6%AC%EC%A6%88-8f3312088875?source=---------10-----------------------
왓챠 머신러닝(ML)팀을 만나다,2021.09.01,machine learning#machine learning#watcha#recommendation system#culture,왓챠,https://medium.com/watcha/%EC%99%93%EC%B1%A0-%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D-ml-%ED%8C%80%EC%9D%84-%EB%A7%8C%EB%82%98%EB%8B%A4-d8698790b9e7?source=---------11-----------------------
일도 중요하지만 놀 때는 놀아봐요.,2021.08.25,culture#watcha#web development,왓챠,https://medium.com/watcha/%EC%9D%BC%EB%8F%84-%EC%A4%91%EC%9A%94%ED%95%98%EC%A7%80%EB%A7%8C-%EB%86%80-%EB%95%8C%EB%8A%94-%EB%86%80%EC%95%84%EB%B4%90%EC%9A%94-3d74f8580837?source=---------12-----------------------
협업의 조건,2021.07.02,culture#coworking#agile#over communication,왓챠,https://medium.com/watcha/%ED%98%91%EC%97%85%EC%9D%98-%EC%A1%B0%EA%B1%B4-2937117f112d?source=---------13-----------------------
무슨 일 하고 계세요? #데이터사이언스팀,2021.06.17,culture,왓챠,https://medium.com/watcha/%EB%AC%B4%EC%8A%A8-%EC%9D%BC-%ED%95%98%EA%B3%A0-%EA%B3%84%EC%84%B8%EC%9A%94-%EB%8D%B0%EC%9D%B4%ED%84%B0%EC%82%AC%EC%9D%B4%EC%96%B8%EC%8A%A4%ED%8C%80-66cb1585ec83?source=---------14-----------------------
좋아하는 것에 대하여 #4: 운동 덕후 Castle,2021.05.20,culture,왓챠,https://medium.com/watcha/%EC%A2%8B%EC%95%84%ED%95%98%EB%8A%94-%EA%B2%83%EC%97%90-%EB%8C%80%ED%95%98%EC%97%AC-4-%EC%9A%B4%EB%8F%99-%EB%8D%95%ED%9B%84-castle-2767e10254d9?source=---------15-----------------------
