title,date,tags,company,link
인공지능 음성 생성 연구 - 음성 분류 솔루션,2022.06.10,ai#딥러닝#버츄얼휴먼#음성분류솔루션#음성생성,이스트소프트,https://blog.est.ai/2022/06/%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5-%EC%9D%8C%EC%84%B1-%EC%83%9D%EC%84%B1-%EC%97%B0%EA%B5%AC-%EC%9D%8C%EC%84%B1-%EB%B6%84%EB%A5%98-%EC%86%94%EB%A3%A8%EC%85%98/
생성 모델의 새로운 흐름 확산 모델(Diffusion model)에 관하여,2022.02.15,ai#딥러닝#생성모델#이스트소프트#ai,이스트소프트,https://blog.est.ai/2022/02/%EC%83%9D%EC%84%B1-%EB%AA%A8%EB%8D%B8%EC%9D%98-%EC%83%88%EB%A1%9C%EC%9A%B4-%ED%9D%90%EB%A6%84-%ED%99%95%EC%82%B0-%EB%AA%A8%EB%8D%B8diffusion-model%EC%97%90-%EA%B4%80%ED%95%98%EC%97%AC/
2021 인공지능 경진대회 참가기,2021.12.08,ai#ai데이터#과기정통부#machine learning#이스트소프트,이스트소프트,https://blog.est.ai/2021/12/2021aicontest/
딥러닝 ‘생성모델’과 ‘잠재 벡터’에 관하여,2021.09.02,ai#딥러닝#생성모델#이스트소프트#ai,이스트소프트,https://blog.est.ai/2021/09/%EB%94%A5%EB%9F%AC%EB%8B%9D-%EC%83%9D%EC%84%B1%EB%AA%A8%EB%8D%B8%EA%B3%BC-%EC%9E%A0%EC%9E%AC-%EB%B2%A1%ED%84%B0%EC%97%90-%EA%B4%80%ED%95%98%EC%97%AC/
AI 기반 뉴스 3줄 요약 서비스 개발기,2021.06.07,3줄요약#ai#aiplus#zum#zum,이스트소프트,https://blog.est.ai/2021/06/news-summary/
bayesian optimization in trading,2021.05.06,ai#aiplus#algorithm#bayesian#bayesian optimization,이스트소프트,https://blog.est.ai/2021/05/bayesian-optimization-in-trading/
AI를 활용한 고용률 예측 모델 개발기(2),2021.04.06,ai#transformer#고용률#고용률예측#고용률예측모델,이스트소프트,https://blog.est.ai/2021/04/employment-rate-2/
AI를 활용한 고용률 예측 모델 개발기(1),2021.03.08,ai#bert#electra#multimodal#고용률예측,이스트소프트,https://blog.est.ai/2021/03/employment-rate/
‘가짜뉴스를 찾아라!’ 가짜뉴스 판별 특허 알아보기,2021.02.08,ai#ai연구소#ai특허#가짜뉴스#가짜뉴스판별,이스트소프트,https://blog.est.ai/2021/02/fake-news/
2020 인공지능 그랜드 챌린지 참가기,2021.01.06,ai#ai그랜드챌린지#ai연구소#ai챌린지#이스트소프트,이스트소프트,https://blog.est.ai/2021/01/2020-ai-challenge/
인공지능(AI) 아나운서 개발기,2020.12.07,ai#aiplus#aiplus#ai아나운서#ai앵커,이스트소프트,https://blog.est.ai/2020/12/ai-anchor/
Semi-supervised learning 방법론 소개,2020.11.09,ai#ai데이터#ai데이터#semi supervised learning#data foundation,이스트소프트,https://blog.est.ai/2020/11/ssl/
"AI PLUS 2020 컨퍼런스, 그 현장속으로!",2020.10.16,ai#aiplus#aiplus#ai학회#비대면컨퍼런스,이스트소프트,https://blog.est.ai/2020/10/aiplus2020-%EC%BB%A8%ED%8D%BC%EB%9F%B0%EC%8A%A4-%ED%98%84%EC%9E%A5/
포털 적용 사례로 알아본 NER 개념과 활용법,2020.10.06,ai#ner#ner개념#ner활용법#zum,이스트소프트,https://blog.est.ai/2020/10/ner/
디지털 뉴딜 총 100억 규모 AI 사업 수주,2020.10.05,ai#aiplus#ai바우처#데이터댐#디지털뉴딜,이스트소프트,https://blog.est.ai/2020/10/100-ai/
AI 컨퍼런스 ‘AI PLUS 2020’ 사전등록 시작,2020.09.25,ai#aiplus#aiplus#ai학회#비대면컨퍼런스,이스트소프트,https://blog.est.ai/2020/09/aiplus2020/
ICML 2020 논문 소개 - 딥러닝 이론 연구,2020.09.07,ai#ai학회#ai학회#iclr#iclr,이스트소프트,https://blog.est.ai/2020/09/icml-2020-%EB%B0%9C%ED%91%9C-%EB%85%BC%EB%AC%B8/
2020 인공지능 온라인 경진대회 참가기,2020.08.06,ai#ai데이터#과기정통부#metric learning#얼굴인식,이스트소프트,https://blog.est.ai/2020/08/2020-%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5-%EC%98%A8%EB%9D%BC%EC%9D%B8-%EA%B2%BD%EC%A7%84%EB%8C%80%ED%9A%8C-%EC%B0%B8%EA%B0%80%EA%B8%B0/
서버 작업으로 인한 사이트 접속 불가 안내,2020.07.29,ai#tech blog#notification#tech blog#이스트소프트,이스트소프트,https://blog.est.ai/2020/07/%EA%B3%B5%EC%A7%80/
문서 이해 인공지능(AI) 연구 동향,2020.07.06,ai#ai research#ai연구동향#ai연구소#tech blog,이스트소프트,https://blog.est.ai/2020/07/%EB%AC%B8%EC%84%9C-%EC%9D%B4%ED%95%B4-ai-%EC%97%B0%EA%B5%AC-%EB%8F%99%ED%96%A5/
