title,date,tags,company,link
2024 카카오 채용 연계형 겨울 인턴십 Coming soon!,2023.11.07,internship#kakao internship#winter internship#internship#kakao internship#winter internship,카카오,https://tech.kakao.com/2023/11/07/2024-winter-internship/
CommonJS에서 ESM으로 전환하기,2023.10.19,esm#fe#front end#javascript#module#esm#fe#front end#javascript#module,카카오,https://tech.kakao.com/2023/10/19/commonjs-esm-migration/
DKAPTCHA: 지도 이미지와 음성을 활용한 어뷰징 방지 전략 / 제3회 Kakao Tech Meet,2023.09.22,ai#captcha#conference#cybersecurity#meetup#machine learning#techmeet#ai#captcha#conference#cybersecurity#meetup#machine learning#techmeet,카카오,https://tech.kakao.com/2023/09/22/techmeet-dkaptcha/
폭증하는 카카오톡 트래픽에 대처하는 방법 / 제3회 Kakao Tech Meet,2023.09.22,conference#kakaotalk#meetup#server#techmeet#traffic#conference#kakaotalk#meetup#server#techmeet#traffic,카카오,https://tech.kakao.com/2023/09/22/techmeet-traffic/
신뢰성 있는 카프카 애플리케이션을 만드는 3가지 방법 / 제3회 Kakao Tech Meet,2023.09.22,conference#exactlyoncesemantics#kafka#meetup#techmeet#transaction#conference#exactlyoncesemantics#kafka#meetup#techmeet#transaction,카카오,https://tech.kakao.com/2023/09/22/techmeet-kafka/
제3회 Kakao Tech Meet 후기 – 불확정성에서 감동까지,2023.09.21,conference#developer relations#event#meetup#review#techmeet#conference#developer relations#event#meetup#review#techmeet,카카오,https://tech.kakao.com/2023/09/21/techmeet-review/
카카오 안정성 보고서(Kakao Reliability Report) 발간,2023.09.14,kakao#kakaotech#reliability#report#kakao#kakaotech#reliability#report,카카오,https://tech.kakao.com/2023/09/14/kakao-reliability-report/
Trident: 딥러닝 모델 개발을 위한 도구,2023.09.05,deep-learning#open source#optimization#trident#deep-learning#open source#optimization#trident,카카오,https://tech.kakao.com/2023/09/05/kakaobrain-trident/
제3회 Kakao Tech Meet에 초대합니다!,2023.08.28,conference#developer relations#event#meetup#tech#techmeet#conference#developer relations#event#meetup#tech#techmeet,카카오,https://tech.kakao.com/2023/08/28/kakao-tech-meet-3/
애자일로 개발하면 빨리 끝난다던데? / 제2회 Kakao Tech Meet,2023.08.01,agile#agilecoach#conference#meetup#techmeet#agile#agilecoach#conference#meetup#techmeet,카카오,https://tech.kakao.com/2023/08/01/techmeet-agile/
